# Which rules load for a given path.
#
# One case per line: <path> <comma-separated rule names, or - for none>.
# Rule names are the basenames in rules/. Order is the order check-payload
# builds the actual list in — a byte-wise sort under LC_ALL=C, which the script
# pins. That is why `rails-model` precedes `rails`: `-` sorts before `.`.
#
# This asserts which rules *load* — a mechanical consequence of the paths:
# globs. It deliberately does not assert which rules *apply*: rules/ember.md
# claims a broad **/*.js and tells the reading agent to ignore it outside an
# Ember app, and that judgment is not testable here.

app/models/reservation.rb                   comments,rails-model,rails,ruby
app/controllers/reservations_controller.rb  comments,rails-controller,rails,ruby
app/mailers/reservation_mailer.rb           comments,rails-controller,rails,ruby
app/views/reservations/show.erb             rails-view,rails
app/views/application/_flash.erb            rails-view,rails
app/helpers/reservations_helper.rb          comments,rails-view,rails,ruby
app/components/badge_component.rb           comments,rails-view,rails,ruby
config/routes.rb                            comments,rails-controller,rails,ruby
config/initializers/sidekiq.rb              comments,rails,ruby
db/migrate/20260101_add.rb                  comments,rails-migration,rails,ruby
db/schema.rb                                comments,rails-migration,rails,ruby
db/structure.sql                            rails-migration
config.ru                                   rails
config/locales/en.yml                       rails
lib/tasks/backfill.rake                     comments,ruby
Gemfile                                     bundler,ruby
Gemfile.lock                                bundler
gems.rb                                     bundler,comments,ruby
.ruby-version                               bundler
gemfiles/rails_8.0.gemfile                  bundler
tablecheck.gemspec                          bundler,comments,gem,ruby
Appraisals                                  gem
lib/tablecheck/version.rb                   comments,gem,ruby
spec/models/reservation_spec.rb             comments,rspec,ruby,testing-levels,testing
spec/rails_helper.rb                        comments,rspec,ruby,testing-levels,testing
spec/support/factories.rb                   comments,rspec,ruby,testing-levels,testing
lib/parser.ex                               comments,elixir
mix.exs                                     comments,elixir
test/parser_test.exs                        comments,elixir,testing-levels,testing
app/components/menu.tsx                     comments,react-typescript
src/hooks/use-cart.ts                       comments,react-typescript
src/hooks/use-cart.test.ts                  comments,react-typescript,testing-levels,testing
__tests__/support/build-order.ts            comments,react-typescript,testing-levels,testing
e2e/playwright/api/health.spec.ts           comments,react-typescript,testing-levels,testing
e2e/support/target.ts                       comments,react-typescript,testing-levels,testing
playwright.config.ts                        comments,react-typescript,testing-levels,testing
app/routes/checkout.js                      comments,ember
tests/unit/cart-test.js                     comments,ember,testing-levels,testing
app/components/widget.jsx                   comments
server/app.mjs                              comments
app/templates/checkout.hbs                  ember
app/templates/legacy.emblem                 ember
AGENTS.md                                   agent-instructions-layout,agent-instructions
CLAUDE.md                                   agent-instructions-layout,agent-instructions
.claude/CLAUDE.md                           agent-instructions-layout,agent-instructions
docs/nested/AGENTS.md                       agent-instructions-layout,agent-instructions
mac                                         -
README.md                                   -
config/database.yml                         -
AGENTS.md.bak                               -
